delay,condition,textbox.text,,,,,,,
0.4,unexp,200,,,,,,,
0.4,unexp,300,,,,,,,
0.4,unexp,1000,,,,,,,
0.4,unexp,300,,,,,,,
0.4,unexp,500,,,,,,,
0.4,unexp,1000,,,,,,,
0.4,unexp,700,,,,,,,
0.7,unexp,"700
",,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,700,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,100,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,400,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,200,,,,,,,
0.7,unexp,200,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,700,,,,,,,
0.7,unexp,600,,,,,,,
0.7,unexp,600,,,,,,,
0.7,unexp,300,,,,,,,
0.7,unexp,200,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,100,,,,,,,
0.7,unexp,500,,,,,,,
0.7,unexp,"800
",,,,,,,
0.7,unexp,600,,,,,,,
0.7,unexp,700,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,700,,,,,,,
0.7,unexp,400,,,,,,,
0.7,unexp,100,,,,,,,
0.7,unexp,200,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,1000,,,,,,,
0.7,unexp,700,,,,,,,
0.7,unexp,1000,,,,,,,
