reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
15,35,13,22,22,0,l,2.7493188999978884,None,0,22,22,1,116.00204809999923,,115.99450559999968,116.00204809999923,116.98351459999685,116.98351459999685,116.99262989999988,119.73343539999769,l,2.7493188999978884,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
100,142,28,23,23,0,l,3.4456658999988576,None,0,23,23,38,119.7395050999985,,119.73626669999794,119.7395050999985,120.71947050000017,120.71947050000017,120.7338337000001,124.16899469999771,l,3.4456658999988576,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
50,78,32,24,24,0,l,3.8787168999988353,None,0,24,24,36,124.17610090000016,,124.17232309999963,124.17610090000016,125.1567987999988,125.1567987999988,125.16883889999735,129.04316560000007,l,3.8787168999988353,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
17,19,125,25,25,0,t,2.695301899999322,None,0,25,25,43,129.04823459999898,,129.04544109999915,129.04823459999898,130.03499109999757,130.03499109999757,130.04120639999746,132.73373979999815,t,2.695301899999322,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
49,60,89,26,26,0,t,3.036358699999255,None,0,26,26,4,132.74417099999846,,132.73721749999822,132.74417099999846,133.72466919999715,133.72466919999715,133.73871999999756,136.763269199997,t,3.036358699999255,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
37,58,31,27,27,0,l,5.037363100000221,None,0,27,27,30,136.76773989999856,,136.76546049999888,136.76773989999856,137.75800919999892,137.75800919999892,137.76115339999888,142.80339589999858,l,5.037363100000221,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
19,26,151,28,28,0,t,1.6299420000032114,None,0,28,28,23,142.81002719999742,,142.80656069999895,142.81002719999742,143.79048580000017,143.79048580000017,143.80898609999713,145.42444590000014,t,1.6299420000032114,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
80,100,170,29,29,0,t,1.8779733999981545,None,0,29,29,37,145.43218100000013,,145.42659149999963,145.43218100000013,146.41474129999915,146.41474129999915,146.4233697999989,148.30070109999724,t,1.8779733999981545,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
13,15,63,30,30,0,t,1.6061582999973325,None,0,30,30,50,148.30633390000003,,148.3031618999994,148.30633390000003,149.29199030000018,149.29199030000018,149.3004196999973,150.89881739999691,t,1.6061582999973325,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
40,49,22,31,31,0,t,1.8229366000014124,None,0,31,31,19,150.90610729999753,,150.90191419999974,150.90610729999753,151.8934780999989,151.8934780999989,151.8934780999989,153.71865269999762,t,1.8229366000014124,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
17,21,168,32,32,0,l,1.5120865999997477,None,0,32,32,60,153.72661329999755,,153.72281369999837,153.72661329999755,154.712404599999,154.712404599999,154.7152236999973,156.228177099998,l,1.5120865999997477,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
29,35,27,33,33,0,t,9.71763060000012,None,0,33,33,64,156.23760559999937,,156.23059739999735,156.23760559999937,157.2227146999976,157.2227146999976,157.2254221000003,166.94737749999695,t,9.71763060000012,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
39,54,7,34,34,0,l,1.6796952999975474,None,0,34,34,73,166.9534093000002,,166.95043420000002,166.9534093000002,167.93970089999857,167.93970089999857,167.94603239999924,169.62781209999957,l,1.6796952999975474,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
30,45,17,35,35,0,l,3.1909083999998984,None,0,35,35,76,169.63709099999687,,169.62999109999873,169.63709099999687,170.61773439999888,170.61773439999888,170.62775429999965,173.81174519999695,l,3.1909083999998984,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
29,41,88,36,36,0,t,1.9330152000002272,None,0,36,36,51,173.81915649999792,,173.8155248999974,173.81915649999792,174.80521450000015,174.80521450000015,174.81135679999716,176.74381079999876,t,1.9330152000002272,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
40,50,120,37,37,0,t,2.908336899999995,None,0,37,37,47,176.75001949999933,,176.74668439999732,176.75001949999933,177.73118559999784,177.73118559999784,177.74409849999938,180.64138199999798,t,2.908336899999995,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
18,22,170,38,38,0,t,2.037048700000014,None,0,38,38,93,180.64834439999686,,180.64459369999895,180.64834439999686,181.62835079999786,181.62835079999786,181.64120189999812,183.67190349999873,t,2.037048700000014,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
30,43,61,39,39,0,t,4.132977400000527,None,0,39,39,63,183.67770779999773,,183.67506449999928,183.67770779999773,184.6645017999981,184.6645017999981,184.6703955999983,188.80316680000033,t,4.132977400000527,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
84,123,9,40,40,0,t,3.679456499998196,None,0,40,40,44,188.80965699999797,,188.80628869999782,188.80965699999797,189.79566469999918,189.79566469999918,189.79566469999918,193.47677349999867,t,3.679456499998196,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
11,30,7,41,41,0,l,7.028572300001542,None,0,41,41,0,193.4831256999969,,193.48016449999704,193.4831256999969,194.4696711999968,194.4696711999968,194.47590649999984,201.50006349999967,l,7.028572300001542,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
81,97,153,42,42,0,t,1.4273398000004818,None,0,42,42,22,201.50582129999748,,201.50265789999685,201.50582129999748,202.49168689999715,202.49168689999715,202.49915309999778,203.92073509999682,t,1.4273398000004818,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
80,92,147,43,43,0,t,2.246929500000988,None,0,43,43,79,203.93033169999762,,203.923680099997,203.93033169999762,204.91154779999852,204.91154779999852,204.9349454000003,207.16274189999967,t,2.246929500000988,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
41,63,18,44,44,0,l,2.6630220000006375,None,0,44,44,82,207.1716912999982,,207.16515749999962,207.1716912999982,208.15588299999945,208.15588299999945,208.1594460999986,210.8202831999988,l,2.6630220000006375,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
31,38,170,45,45,0,t,1.6615552000002936,None,0,45,45,78,210.82589579999694,,210.82340909999766,210.82589579999694,211.81313459999728,211.81313459999728,211.81990849999784,213.47524909999993,t,1.6615552000002936,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
84,117,168,46,46,0,l,6.077464999998483,None,0,46,46,9,213.48049329999776,,213.47758809999868,213.48049329999776,214.47448939999958,214.47448939999958,214.47448939999958,220.5591104999985,l,6.077464999998483,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
83,99,11,47,47,0,l,3.8382266000007803,None,0,47,47,25,220.56363599999895,,220.56150340000022,220.56363599999895,221.55234689999997,221.55234689999997,221.56015370000023,225.3950429999968,l,3.8382266000007803,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
33,37,14,48,48,0,l,2.7274779999970633,None,0,48,48,74,225.40003269999943,,225.39726429999791,225.40003269999943,226.38809169999877,226.38809169999877,226.39117350000015,229.12188859999878,l,2.7274779999970633,None,004,001,2025-11-06_16h47.37.716,IshikaKori_AU2320248_DelayDiscount,,2025.1.1,None,2025-11-06 16h48.36.245869 +0530,
